"""X"",""Y"",""OBJECTID"",""src_geo"",""clc_quartier"",""clc_secteur"",""id_arbre"",""haut_tot"",""haut_tronc"",""tronc_diam"",""fk_arb_etat"",""fk_stadedev"",""fk_port"",""fk_pied"",""fk_situation"",""age_estim"",""villeca"",""feuillage"",""remarquable"",""lng"",""lat"""
"1718598.2329,8292575.7796,64,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""37"",10,2,150,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.2585013674586,49.8321401339069"
"1718580.5206,8292562.3462,65,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""38"",10,2,150,""en_place"",""adulte"",""réduit_relâché"",""revetement_non_permeable"",""alignement"",50,""ville"",""feuillu"",""non"",3.25825454661381,49.8320199030775"
"1718387.2803,8292442.6978,67,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""40"",9,3,130,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25556308122738,49.8309500846955"
"1718374.9261,8292435.3515,68,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""41"",10,3,150,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25539102916128,49.8308844116221"
"1718352.6862,8292422.5828,70,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""43"",9,2,130,""en_place"",""adulte"",""réduit_relâché"",""revetement_non_permeable"",""alignement"",50,""ville"",""feuillu"",""non"",3.25508132531103,49.8307702869585"
"1718343.4278,8292417.8063,71,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""44"",10,2,160,""en_place"",""adulte"",""réduit_relâché"",""revetement_non_permeable"",""alignement"",50,""ville"",""feuillu"",""non"",3.2549524221648,49.8307276234797"
"1718320.151,8292403.9029,72,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""45"",9,3,110,""en_place"",""adulte"",""réduit_relâché"",""revetement_non_permeable"",""alignement"",50,""ville"",""feuillu"",""non"",3.25462825585683,49.8306033274057"
"1718312.1666,8292399.3187,73,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""46"",9,2,110,""en_place"",""adulte"",""réduit_relâché"",""revetement_non_permeable"",""alignement"",50,""ville"",""feuillu"",""non"",3.25451706943609,49.8305623538989"
"1718292.1835,8292387.8455,74,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""47"",9,2,145,""en_place"",""adulte"",""réduit_relâché"",""revetement_non_permeable"",""alignement"",50,""ville"",""feuillu"",""non"",3.25423879644442,49.8304598061539"
"1718279.9132,8292380.8007,75,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""48"",9,2,105,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25406792798772,49.8303968392353"
"1718272.1772,8292376.3591,76,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""49"",9,2,120,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25396020155291,49.8303571397678"
"1718261.662,8292370.3218,77,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""50"",9,2,140,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25381377408938,49.830303177612"
"1718252.2848,8292364.9381,78,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""51"",9,2,140,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25368319391492,49.8302550572724"
"1718241.5991,8292358.6425,79,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""52"",9,3,115,""en_place"",""adulte"",""réduit_relâché"",""revetement_non_permeable"",""alignement"",50,""ville"",""feuillu"",""non"",3.25353438536096,49.8301987776428"
"1718231.5998,8292353.062,80,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""53"",9,2,110,""en_place"",""adulte"",""réduit_relâché"",""revetement_non_permeable"",""alignement"",50,""ville"",""feuillu"",""non"",3.25339515030382,49.8301489063295"
"1718221.2526,8292347.1212,81,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""54"",10,2,140,""en_place"",""adulte"",""réduit_relâché"",""revetement_non_permeable"",""alignement"",50,""ville"",""feuillu"",""non"",3.25325106351452,49.8300958060082"
"1718209.5038,8292340.3757,82,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""55"",10,2,135,""en_place"",""adulte"",""réduit_relâché"",""revetement_non_permeable"",""alignement"",50,""ville"",""feuillu"",""non"",3.25308745954915,49.830035512867"
"1718196.1415,8292332.7039,83,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""56"",9,2,130,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25290138782391,49.8299669399259"
"1718161.7195,8292312.3771,84,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""57"",9,2,140,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25242203343751,49.8297852218552"
"1718139.8163,8292300.523,85,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""58"",9,2,110,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25211706524014,49.8296793019605"
"1718131.6737,8292295.6902,86,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""59"",9,3,115,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25200367280539,49.8296360957417"
"1718104.5736,8292295.9909,87,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""60"",9,2,165,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25162703777321,49.8296396073652"
"1718112.9278,8292300.513,88,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""61"",9,2,115,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25174335647579,49.8296800142912"
"1718125.0539,8292307.386,89,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""62"",10,2,140,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25191220737607,49.8297414443479"
"1718147.0633,8292319.5731,90,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""63"",10,2,130,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25221866691384,49.8298503554358"
"1718189.5054,8292344.5913,92,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""65"",9,2,110,""en_place"",""adulte"",""réduit_relâché"",""revetement_non_permeable"",""alignement"",50,""ville"",""feuillu"",""non"",3.25280970602588,49.8300740122841"
"1718213.7853,8292358.3746,93,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""66"",10,2,130,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25314780034582,49.8301972035786"
"1718224.6245,8292364.5098,94,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""67"",9,2,125,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25329873444946,49.8302520370182"
"1718254.7627,8292381.7783,95,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""68"",10,2,150,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25371841551268,49.8304063845716"
"1718265.8663,8292388.0723,96,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""69"",10,2,140,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25387303308402,49.8304626370137"
